Family,Category,SuggestedName,Conflict,ProblemReasons
Rectangular Short Radius Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Short-Radius-Bend-Slip-Joint,,missing_shape;missing_fitting;missing_size
Rectangular Square Bend - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Square-Bend-Flanged,,missing_shape;missing_fitting;missing_size
Rectangular Square Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Square-Bend-Slip-Joint,,missing_shape;missing_fitting;missing_size
Rectangular Long Radius Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Long-Radius-Bend-Slip-Joint,,missing_shape;missing_fitting;missing_size
Rectangular Shoe Branch - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Shoe-Branch-Flanged,,missing_shape;missing_fitting
Rectangular Shoe Branch - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Shoe-Branch-Slip-Joint,,missing_shape;missing_fitting
Rectangular Square Branch - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Square-Branch-Flanged,,missing_shape;missing_fitting
Rectangular Square Branch - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Square-Branch-Slip-Joint,,missing_shape;missing_fitting
Rectangular Angled Branch - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Angled-Branch-Flanged,,missing_shape;missing_fitting
Rectangular Angled Branch - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Angled-Branch-Slip-Joint,,missing_shape;missing_fitting
MHT_HM_PA_Check Valve,Pipe Accessories,MHT-PL-PACC-HM-PA-Check-Valve,,
M_Rectangular Duct Cross,Duct Fittings,MHT-ME-DF-M-Rectangular-Duct-Cross,,missing_shape;missing_fitting;missing_size
M_Rectangular Duct Radius Elbow,Duct Fittings,MHT-ME-DF-M-Rectangular-Duct-Radius-Elbow,,missing_shape;missing_fitting
M_Rectangular Duct Takeoff,Duct Fittings,MHT-ME-DF-Rect-Takeoff-DN1600,,
M_Rectangular Duct Tee,Duct Fittings,MHT-ME-DF-M-Rectangular-Duct-Tee,,missing_shape;missing_fitting
M_Round Duct Cross,Duct Fittings,MHT-ME-DF-M-Round-Duct-Cross,,missing_shape;missing_fitting;missing_size
M_Round Duct Elbow,Duct Fittings,MHT-ME-DF-M-Round-Duct-Elbow,,missing_shape;missing_fitting
M_Round Duct Transition,Duct Fittings,MHT-ME-DF-M-Round-Duct-Transition,,missing_shape;missing_fitting
M_Pipe Straight Coupling,Pipe Fittings,MHT-ME-FAM-M-Pipe-Straight-Coupling,,
M_Round Duct Union,Duct Fittings,MHT-ME-DF-M-Round-Duct-Union,,missing_shape;missing_fitting
M_Round Duct Tee,Duct Fittings,MHT-ME-DF-M-Round-Duct-Tee,,missing_shape;missing_fitting
M_Rectangular Duct Union,Duct Fittings,MHT-ME-DF-M-Rectangular-Duct-Union,,missing_shape;missing_fitting
M_Rectangular Duct Mitered Elbow,Duct Fittings,MHT-ME-DF-M-Rectangular-Duct-Mitered-Elbow,,missing_shape;missing_fitting
M_Cross - Threaded - MI - Class 150,Pipe Fittings,MHT-ME-FAM-M-Cross-Threaded-MI-Class-150,,
COES_Concentric_Reduction,Pipe Fittings,MHT-ME-FAM-COES-Concentric-Reduction,,
M_Elbow - PVC - Sch 40,Pipe Fittings,MHT-ME-FAM-M-Elbow-PVC-Sch-40,,
M_Coupling - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-M-Coupling-PVC-Sch-40-DWV,,
M_Tee Sanitary - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-M-Tee-Sanitary-PVC-Sch-40-DWV,,
M_Reducer - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-M-Reducer-PVC-Sch-40-DWV,,
M_Coupling - Threaded - MI - Class 150,Pipe Fittings,MHT-ME-FAM-M-Coupling-Threaded-MI-Class-150,,
M_Transition - Generic,Pipe Fittings,MHT-ME-FAM-M-Transition-Generic,,
Bend - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Bend-PVC-Sch-40-DWV,,
Coupling - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Coupling-PVC-Sch-40-DWV,,
Reducer - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Reducer-PVC-Sch-40-DWV,,
Cross - Generic,Pipe Fittings,MHT-ME-FAM-Cross-Generic,,
Tee - Generic,Pipe Fittings,MHT-ME-FAM-Tee-Generic,,
Transition - Generic,Pipe Fittings,MHT-ME-FAM-Transition-Generic,,
Tee Sanitary - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Tee-Sanitary-PVC-Sch-40-DWV,,
MHT_Rectangular Elbow - Mitered - Single Thickness Vanes,Duct Fittings,MHT-ME-DF-Rectangular-Elbow-Mitered-Single-Thickness-Vanes,,missing_shape;missing_fitting
M_Rect Square Bend - Flanged Turning Vanes,Duct Fittings,MHT-ME-DF-Rect-Press-Flanged-DN1000,,
M_Rectangular Plenum Transition,Duct Fittings,MHT-ME-DF-M-Rectangular-Plenum-Transition,,missing_shape;missing_fitting
M_Tee - Threaded - MI - Class 150,Pipe Fittings,MHT-ME-FAM-M-Tee-Threaded-MI-Class-150,,
M_Coupling Concentric Reducing - Threaded - MI - Class 150,Pipe Fittings,MHT-ME-FAM-M-Coupling-Concentric-Reducing-Threaded-MI-Class-150,,
M_Elbow - Threaded - MI - Class 150,Pipe Fittings,MHT-ME-FAM-M-Elbow-Threaded-MI-Class-150,,
M_Rectangular To Round Duct Transition,Duct Fittings,MHT-ME-DF-M-Rectangular-To-Round-Duct-Transition,,missing_shape;missing_fitting
