Family,Category,SuggestedName,Conflict,ProblemReasons
"Dry Type Transformer - 480-208Y120 - NEMA Type 2","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-DN5-UND","",""
"Lighting and Appliance Panelboard - 480V MLO","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND-UND","",""
"Lighting and Appliance Panelboard - 208V MLO","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND-DN5","",""
"Communication Devices Tag","Communication Device Tags","MHT-ME-FAM-Communication-Devices-Tag","",""
"Nurse Call Devices Tag","Nurse Call Device Tags","MHT-ME-FAM-Nurse-Call-Devices-Tag","",""
"Plumbing Fixture Tag","Plumbing Fixture Tags","MHT-ME-FAM-Fixture-Tag","",""
"Security Devices Tag","Security Device Tags","MHT-ME-FAM-Security-Devices-Tag","",""
"Space Tag","Space Tags","MHT-ME-FAM-Space-Tag","",""
"Sprinklers Tag","Sprinkler Tags","MHT-ME-FAM-Sprinklers-Tag","",""
"Mechanical Equipment Tag","Mechanical Equipment Tags","MHT-ME-FAM-Equipment-Tag-02","",""
"Electrical Equipment Type Mark Tag","Electrical Equipment Tags","MHT-ME-FAM-Equipment-Mark-Tag","",""
"Duplex Receptacle","Electrical Fixtures","MHT-ME-FAM-Duplex-Receptacle","",""
"Channel Horizontal Cross","Cable Tray Fittings","MHT-ME-FAM-Channel-Horizontal-Cross","",""
"Channel Horizontal Tee","Cable Tray Fittings","MHT-ME-FAM-Channel-Horizontal-Tee","",""
"Channel Reducer","Cable Tray Fittings","MHT-ME-FAM-Channel-Reducer","",""
"Channel Union","Cable Tray Fittings","MHT-ME-FAM-Channel-Union","",""
"Channel Vertical Inside Bend","Cable Tray Fittings","MHT-ME-FAM-Channel-Vertical-Inside-Bend","",""
"Channel Vertical Outside Bend","Cable Tray Fittings","MHT-ME-FAM-Channel-Vertical-Outside-Bend","",""
"Ladder Horizontal Bend","Cable Tray Fittings","MHT-ME-FAM-Ladder-Horizontal-Bend","",""
"Ladder Horizontal Cross","Cable Tray Fittings","MHT-ME-FAM-Ladder-Horizontal-Cross","",""
