Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-STARTING VIEW2","Title Blocks","MHT-ME-FAM-Mht-Me-Fam-Starting-View2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006227-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-M-VIEW TITLE","View Titles","MHT-ME-FAM-Mht-Me-Fam-M-View-Title-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006228-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-N-01","Mechanical Equipment","MHT-ME-MEQ-Pump-DN2700-UND","",""
"MHT-ME-GM-Generic Models","Generic Models","MHT-ME-GM-Mht-Me-Gm-Generic-Models-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000622A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-GM-OPTIMIZED-F","Generic Models","MHT-ME-GM-Mht-Me-Gm-Optimized-F-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000622C-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-GM-SAFETY-F","Generic Models","MHT-ME-GM-Mht-Me-Gm-Safety-F-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000622E-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-N-02","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-N-02-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006230-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-O","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-O-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006231-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-N-03","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-N-03-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006232-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-PRESSURE TANK-N","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-Pressure-Tank-N-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006233-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-SINGLE COIL","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-Single-Coil-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006234-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-N-04","Mechanical Equipment","MHT-ME-MEQ-Pump-DN3550-UND","",""
"MHT-ME-MEQ-N-05","Mechanical Equipment","MHT-ME-MEQ-Pump-DN2900-UND","",""
"MHT-ME-MEQ-N-06","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-N-06-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000006237-Autodesk-Revit-Db-Familysymbol","",""
